family,verbatimScientificName
Geraniaceae,Geranium richardsonii
Orobanchaceae,Castilleja septentrionalis
Montiaceae,Claytonia megarhiza
Primulaceae,Primula angustifolia
Gentianaceae,Gentianopsis barbellata
Asteraceae,Chaenactis douglasii
Plantaginaceae,Chionophila jamesii
Boraginaceae,Mertensia ciliata
Crassulaceae,Rhodiola integrifolia
Primulaceae,Androsace lehmanniana
Rosaceae,Geum rossii
Plantaginaceae,Veronica besseya
Polygonaceae,Bistorta vivipara
Primulaceae,Primula angustifolia
Caryophyllaceae,Silene acaulis
Hydrophyllaceae,Phacelia hastata
Crassulaceae,Sedum lanceolatum
Asteraceae,Hymenoxys grandiflora
Polygonaceae,Bistorta bistortoides
Boraginaceae,Mertensia ciliata
Boraginaceae,Eritrichium argenteum
Crassulaceae,Sedum lanceolatum
Orobanchaceae,Pedicularis groenlandica
Polygonaceae,Oxyria digyna
Asteraceae,Erigeron glacialis
Brassicaceae,Smelowskia americana
Asteraceae,Artemisia scopulorum
Orobanchaceae,Pedicularis groenlandica
Hydrophyllaceae,Phacelia sericea
Asteraceae,Anaphalis margaritacea
Ranunculaceae,Aquilegia coerulea
Saxifragaceae,Heuchera bracteata
Melanthiaceae,Anticlea elegans
Asteraceae,Achillea millefolium
Boraginaceae,Eritrichium argenteum
Apiaceae,Angelica grayi
Crassulaceae,Rhodiola integrifolia integrifolia
Bryaceae,Ptychostomum cyclophyllum
Ericaceae,Arctostaphylos uva-ursi
Primulaceae,Primula angustifolia
Montiaceae,Lewisia pygmaea
Ranunculaceae,Anemonastrum zephyrum
Ranunculaceae,Aquilegia coerulea coerulea
Crassulaceae,Rhodiola rhodantha
Crassulaceae,Rhodiola integrifolia
Crassulaceae,Rhodiola integrifolia
Rosaceae,Dryas hookeriana
Fabaceae,Trifolium dasyphyllum
Plantaginaceae,Veronica wormskjoldii
Hydrophyllaceae,Phacelia sericea
Rosaceae,Dryas hookeriana
Liliaceae,Erythronium grandiflorum
Polygonaceae,Bistorta bistortoides
Saxifragaceae,Micranthes rhomboidea
Rosaceae,Sibbaldia procumbens
Saxifragaceae,Saxifraga bronchialis austromontana
Rosaceae,Geum rossii
Orobanchaceae,Pedicularis groenlandica
Caryophyllaceae,Eremogone fendleri
Asteraceae,Senecio triangularis
Fabaceae,Trifolium dasyphyllum
Fabaceae,Oxytropis deflexa
Liliaceae,Erythronium grandiflorum
Montiaceae,Claytonia megarhiza
Asteraceae,Cirsium arvense
Asteraceae,Cirsium scopulorum
Ranunculaceae,Caltha chionophila
Rosaceae,Fragaria virginiana
Chlamydomonadaceae,Chlamydomonas nivalis
Orobanchaceae,Pedicularis parryi
Brassicaceae,Physaria alpina
Fabaceae,Trifolium nanum
Rosaceae,Dryas hookeriana
Polemoniaceae,Polemonium pulcherrimum delicatum
Primulaceae,Primula parryi
Crassulaceae,Sedum lanceolatum
Hydrophyllaceae,Phacelia sericea
Ranunculaceae,Aquilegia coerulea
Brassicaceae,Physaria alpina
Campanulaceae,Campanula petiolata
Rosaceae,Geum rossii
Asteraceae,Hymenoxys grandiflora
Caryophyllaceae,Cherleria obtusiloba
Saxifragaceae,Saxifraga chrysantha
Crassulaceae,Rhodiola integrifolia
Orobanchaceae,Pedicularis groenlandica
Boraginaceae,Eritrichium argenteum
Brassicaceae,Smelowskia americana
Rosaceae,Geum rossii
Crassulaceae,Sedum lanceolatum
Asteraceae,Packera werneriifolia
Fabaceae,Trifolium dasyphyllum
Saxifragaceae,Saxifraga bronchialis
Polygonaceae,Bistorta bistortoides
Grossulariaceae,Ribes montigenum
Plantaginaceae,Veronica besseya
Violaceae,Viola adunca
Plantaginaceae,Penstemon whippleanus
Phrymaceae,Erythranthe minor
Fabaceae,Oxytropis borealis viscida
Gentianaceae,Gentiana algida
Montiaceae,Claytonia megarhiza
Crassulaceae,Rhodiola integrifolia
Brassicaceae,Erysimum capitatum
Plantaginaceae,Penstemon whippleanus
Boraginaceae,Mertensia ciliata
Orobanchaceae,Castilleja rhexiifolia
Gentianaceae,Gentianella amarella
Rosaceae,Sibbaldia procumbens
Ericaceae,Vaccinium cespitosum
Asteraceae,Senecio atratus
Polemoniaceae,Polemonium viscosum
Asteraceae,Cirsium scopulorum
Polygonaceae,Bistorta bistortoides
Saxifragaceae,Saxifraga flagellaris
Plantaginaceae,Penstemon whippleanus
Orobanchaceae,Castilleja occidentalis
Plantaginaceae,Penstemon whippleanus
Asteraceae,Agoseris glauca
Rosaceae,Geum rossii
Fabaceae,Trifolium nanum
Violaceae,Viola adunca
Amaryllidaceae,Allium geyeri
Brassicaceae,Noccaea fendleri
Apiaceae,Oreoxis alpina
Asteraceae,Taraxacum officinale
Ranunculaceae,Delphinium barbeyi
Gentianaceae,Gentiana parryi
Fabaceae,Trifolium dasyphyllum
Ranunculaceae,Pulsatilla nuttalliana
Saxifragaceae,Micranthes odontoloma
Ericaceae,Kalmia microphylla
Asteraceae,Cirsium scopulorum
Primulaceae,Primula parryi
Fabaceae,Trifolium dasyphyllum
Hydrophyllaceae,Phacelia sericea
Hydrophyllaceae,Phacelia sericea
Liliaceae,Erythronium grandiflorum
Ranunculaceae,Aquilegia coerulea
Boraginaceae,Mertensia tweedyi
Crassulaceae,Sedum lanceolatum
Asteraceae,Hymenoxys hoopesii
Plantaginaceae,Penstemon whippleanus
Caryophyllaceae,Silene acaulis
Ranunculaceae,Anemone multifida
Orobanchaceae,Pedicularis bracteosa
Plantaginaceae,Penstemon whippleanus
Asteraceae,Solidago simplex
Onagraceae,Chamaenerion angustifolium
Primulaceae,Primula parryi
Brassicaceae,Draba crassifolia
Primulaceae,Primula pauciflora
Caryophyllaceae,Silene acaulis
Asteraceae,Cirsium hesperium
Fabaceae,Oxytropis splendens
Rosaceae,Geum rossii
Ranunculaceae,Aquilegia coerulea
Melanthiaceae,Veratrum californicum
Asteraceae,Senecio atratus
Grossulariaceae,Ribes montigenum
Ranunculaceae,Delphinium barbeyi
Caryophyllaceae,Paronychia pulvinata
Rosaceae,Fragaria virginiana
Apiaceae,Angelica grayi
Gentianaceae,Gentiana prostrata
Fabaceae,Trifolium dasyphyllum
Plantaginaceae,Chionophila jamesii
Asteraceae,Senecio atratus
Montiaceae,Lewisia pygmaea
Asteraceae,Tetraneuris acaulis caespitosa
Montiaceae,Lewisia pygmaea
Violaceae,Viola adunca
Violaceae,Viola adunca
Campanulaceae,Campanula petiolata
Campanulaceae,Campanula petiolata
Caryophyllaceae,Silene acaulis
Geraniaceae,Geranium richardsonii
Asteraceae,Hymenoxys grandiflora
Gentianaceae,Gentiana parryi
Hydrophyllaceae,Phacelia sericea
Ranunculaceae,Aquilegia coerulea
Asteraceae,Tonestus pygmaeus
Ranunculaceae,Aquilegia coerulea
Rosaceae,Rubus idaeus
Asteraceae,Cirsium scopulorum
Campanulaceae,Campanula petiolata
Boraginaceae,Eritrichium argenteum
Orobanchaceae,Pedicularis racemosa
Ranunculaceae,Aquilegia coerulea
Orobanchaceae,Castilleja rhexiifolia
Caryophyllaceae,Silene acaulis
Hydrophyllaceae,Phacelia sericea
Plantaginaceae,Penstemon whippleanus
Rosaceae,Geum rossii
Boraginaceae,Eritrichium argenteum
Asteraceae,Cirsium hesperium
Polemoniaceae,Polemonium confertum
Primulaceae,Primula angustifolia
Primulaceae,Primula parryi
Hydrophyllaceae,Hydrophyllum capitatum
Montiaceae,Claytonia megarhiza
Orobanchaceae,Castilleja occidentalis
Ranunculaceae,Delphinium barbeyi
Rosaceae,Geum rossii turbinatum
Ranunculaceae,Anemone multifida
Rosaceae,Geum rossii
Orobanchaceae,Pedicularis groenlandica
Caryophyllaceae,Cherleria obtusiloba
Montiaceae,Claytonia megarhiza
Asteraceae,Hymenoxys grandiflora
Hydrophyllaceae,Phacelia sericea
Hydrophyllaceae,Phacelia sericea
Rosaceae,Geum rossii
Crassulaceae,Sedum lanceolatum
Polemoniaceae,Polemonium viscosum
Brassicaceae,Physaria alpina
Melanthiaceae,Anticlea elegans
Asteraceae,Erigeron glacialis
Montiaceae,Claytonia lanceolata
Rosaceae,Sibbaldia procumbens
Polemoniaceae,Polemonium viscosum
Montiaceae,Claytonia megarhiza
Asteraceae,Hymenoxys grandiflora
Orobanchaceae,Pedicularis groenlandica
Rosaceae,Ivesia gordonii
Polygonaceae,Bistorta vivipara
Plantaginaceae,Veronica wormskjoldii
Asteraceae,Erigeron melanocephalus
Asteraceae,Tetraneuris acaulis caespitosa
Caryophyllaceae,Silene acaulis
Rosaceae,Geum rossii
Violaceae,Viola adunca
Ranunculaceae,Aquilegia coerulea
Crassulaceae,Rhodiola integrifolia
Crassulaceae,Sedum lanceolatum
Ranunculaceae,Anemone multifida multifida
Primulaceae,Androsace septentrionalis
Boraginaceae,Eritrichium argenteum
Asteraceae,Hymenoxys grandiflora
Salicaceae,Salix petrophila
Liliaceae,Gagea serotina
Boraginaceae,Mertensia ciliata
Asteraceae,Senecio crassulus
Rosaceae,Geum rossii
Asteraceae,Arnica cordifolia
Brassicaceae,Noccaea fendleri
Asteraceae,Cirsium scopulorum
Salicaceae,Salix discolor
Primulaceae,Primula parryi
Asteraceae,Hymenoxys grandiflora
Montiaceae,Claytonia megarhiza
Crassulaceae,Rhodiola rhodantha
Phrymaceae,Erythranthe minor
Asteraceae,Chaenactis douglasii alpina
Boraginaceae,Mertensia ciliata
Cystopteridaceae,Cystopteris fragilis
Asteraceae,Senecio soldanella
Fabaceae,Trifolium dasyphyllum
Crassulaceae,Rhodiola rhodantha
Ranunculaceae,Ranunculus pygmaeus
Plantaginaceae,Veronica besseya
Caryophyllaceae,Cherleria obtusiloba
Salicaceae,Salix planifolia
Crassulaceae,Rhodiola integrifolia
Asteraceae,Chaenactis douglasii
Ranunculaceae,Aquilegia saximontana
Asteraceae,Hymenoxys grandiflora
Saxifragaceae,Micranthes rhomboidea
Caryophyllaceae,Eremogone congesta
Polemoniaceae,Ipomopsis globularis
Saxifragaceae,Saxifraga debilis
Ranunculaceae,Caltha chionophila
Fabaceae,Trifolium dasyphyllum
Hydrodictyaceae,Pseudopediastrum boryanum longicorne
Asteraceae,Achillea millefolium
Campanulaceae,Campanula petiolata
Asteraceae,Hymenoxys grandiflora
Crassulaceae,Rhodiola integrifolia
Saxifragaceae,Heuchera parvifolia
Caryophyllaceae,Silene acaulis
Melanthiaceae,Anticlea elegans
Crassulaceae,Rhodiola integrifolia
Polemoniaceae,Phlox condensata
Gentianaceae,Gentiana parryi
Montiaceae,Claytonia megarhiza
Fabaceae,Trifolium dasyphyllum
Orobanchaceae,Pedicularis parryi
Rosaceae,Dasiphora fruticosa
Rosaceae,Dryas hookeriana
Polygonaceae,Bistorta bistortoides
Montiaceae,Claytonia megarhiza
Crassulaceae,Rhodiola integrifolia
Saxifragaceae,Micranthes rhomboidea
Gentianaceae,Gentiana algida
Crassulaceae,Sedum lanceolatum
Asteraceae,Erigeron compositus
Orobanchaceae,Pedicularis groenlandica
Primulaceae,Primula angustifolia
Crassulaceae,Sedum lanceolatum
Ranunculaceae,Aconitum columbianum
Campanulaceae,Campanula petiolata
Hydrophyllaceae,Phacelia sericea
Gentianaceae,Gentiana parryi
Polemoniaceae,Phlox condensata
Polygonaceae,Bistorta bistortoides
Brassicaceae,Erysimum capitatum
Onagraceae,Chamaenerion angustifolium
Gentianaceae,Gentiana algida
Polygonaceae,Bistorta bistortoides
Apiaceae,Heracleum maximum
Ranunculaceae,Aquilegia coerulea
Asteraceae,Cirsium arvense
Rosaceae,Geum rossii
Crassulaceae,Rhodiola rhodantha
Plantaginaceae,Penstemon whippleanus
Asteraceae,Senecio amplectens holmii
Asteraceae,Achillea millefolium
Melanthiaceae,Anticlea elegans
Primulaceae,Primula parryi
Gentianaceae,Gentiana parryi
Gentianaceae,Frasera speciosa
Crassulaceae,Rhodiola integrifolia
Brassicaceae,Physaria alpina
Fabaceae,Trifolium nanum
Onagraceae,Chamaenerion angustifolium
Brassicaceae,Cardamine cordifolia
Polemoniaceae,Polemonium viscosum
Hydrophyllaceae,Phacelia sericea
Salicaceae,Salix planifolia
Crassulaceae,Sedum lanceolatum
Asteraceae,Hymenoxys grandiflora
Hydrophyllaceae,Phacelia sericea
Polygonaceae,Bistorta bistortoides
Rosaceae,Geum rossii
Caryophyllaceae,Cherleria obtusiloba
Orobanchaceae,Castilleja rhexiifolia
Montiaceae,Claytonia megarhiza
Rosaceae,Geum rossii turbinatum
Boraginaceae,Mertensia ciliata
Hydrophyllaceae,Phacelia sericea
Lamiaceae,Monardella odoratissima
Rosaceae,Dryas hookeriana
Orobanchaceae,Castilleja occidentalis
Crassulaceae,Sedum lanceolatum
Asteraceae,Senecio amplectens holmii
Rosaceae,Geum rossii turbinatum
Rosaceae,Geum rossii
Plantaginaceae,Veronica besseya
Saxifragaceae,Saxifraga bronchialis austromontana
Orobanchaceae,Pedicularis groenlandica
Polemoniaceae,Polemonium viscosum
Asteraceae,Senecio bigelovii
Rosaceae,Dasiphora fruticosa
Caryophyllaceae,Silene acaulis
Asteraceae,Arnica cordifolia
Primulaceae,Primula parryi
Asteraceae,Hymenoxys grandiflora
Brassicaceae,Draba aurea
Fabaceae,Trifolium nanum
Hydrophyllaceae,Phacelia sericea
Crassulaceae,Rhodiola integrifolia
Brassicaceae,Draba aurea
Asteraceae,Artemisia arctica
Orobanchaceae,Castilleja occidentalis
Plantaginaceae,Penstemon whippleanus
Caprifoliaceae,Valeriana capitata
Rosaceae,Geum rossii
Asteraceae,Erigeron leiomerus
Brassicaceae,Smelowskia americana
Pinaceae,Picea engelmannii
Apiaceae,Oreoxis alpina
Montiaceae,Lewisia pygmaea
Orobanchaceae,Castilleja occidentalis
Fabaceae,Trifolium parryi
Asteraceae,Cirsium scopulorum
Plantaginaceae,Veronica besseya
Fabaceae,Trifolium dasyphyllum
Liliaceae,Gagea serotina
Caryophyllaceae,Cherleria obtusiloba
Polemoniaceae,Phlox condensata
Montiaceae,Claytonia megarhiza
Pinaceae,Abies lasiocarpa
Orobanchaceae,Castilleja occidentalis
Asteraceae,Erigeron compositus
Onagraceae,Chamaenerion angustifolium
Orobanchaceae,Pedicularis racemosa
Orobanchaceae,Pedicularis groenlandica
Pinaceae,Pinus aristata
Caryophyllaceae,Cherleria obtusiloba
Fabaceae,Oxytropis deflexa
Polemoniaceae,Polemonium pulcherrimum
Caryophyllaceae,Sagina saginoides
Orobanchaceae,Pedicularis parryi
Gentianaceae,Gentianella amarella
Rosaceae,Geum rossii
Orobanchaceae,Pedicularis parryi
Ranunculaceae,Aquilegia coerulea
Rosaceae,Dryas hookeriana
Gentianaceae,Gentianopsis barbellata
Polemoniaceae,Phlox condensata
Caryophyllaceae,Silene acaulis
Plantaginaceae,Veronica besseya
Brassicaceae,Noccaea fendleri
Crassulaceae,Rhodiola integrifolia
Ranunculaceae,Aquilegia coerulea
Fabaceae,Trifolium nanum
Liliaceae,Gagea serotina
Orobanchaceae,Castilleja occidentalis
Brassicaceae,Physaria alpina
Asteraceae,Erigeron glacialis
Ranunculaceae,Caltha chionophila
Montiaceae,Claytonia megarhiza
Boraginaceae,Eritrichium argenteum
Polemoniaceae,Polemonium viscosum
Polygonaceae,Bistorta bistortoides
Caryophyllaceae,Cherleria obtusiloba
Caryophyllaceae,Eremogone congesta
Orobanchaceae,Castilleja rhexiifolia
Crassulaceae,Rhodiola integrifolia
Asteraceae,Hymenoxys grandiflora
Polygonaceae,Bistorta vivipara
Asteraceae,Senecio fremontii
Caryophyllaceae,Silene acaulis
Asteraceae,Hymenoxys grandiflora
Crassulaceae,Rhodiola integrifolia
Crassulaceae,Rhodiola integrifolia
Fabaceae,Trifolium dasyphyllum
Pinaceae,Picea engelmannii
Orobanchaceae,Castilleja occidentalis
Boraginaceae,Eritrichium argenteum
Liliaceae,Gagea serotina
Plantaginaceae,Penstemon whippleanus
Apiaceae,Cymopterus lemmonii
Fabaceae,Trifolium dasyphyllum
Plantaginaceae,Penstemon whippleanus
Liliaceae,Erythronium grandiflorum
Fabaceae,Trifolium dasyphyllum
Onagraceae,Chamaenerion angustifolium
Asteraceae,Chaenactis douglasii
Hydrophyllaceae,Phacelia sericea
Rosaceae,Sibbaldia procumbens
Asteraceae,Cirsium scopulorum
Crassulaceae,Rhodiola integrifolia
Caryophyllaceae,Silene acaulis
Caprifoliaceae,Valeriana capitata
Apiaceae,Oreoxis alpina
Polemoniaceae,Polemonium viscosum
Primulaceae,Primula parryi
Polygonaceae,Koenigia islandica
Orobanchaceae,Castilleja septentrionalis
Ranunculaceae,Aquilegia coerulea
Orobanchaceae,Castilleja occidentalis
Ericaceae,Arctostaphylos uva-ursi
Ranunculaceae,Delphinium barbeyi
Plantaginaceae,Veronica wormskjoldii
Crassulaceae,Rhodiola integrifolia
Caryophyllaceae,Silene acaulis
Fabaceae,Trifolium dasyphyllum
Liliaceae,Erythronium grandiflorum
Plantaginaceae,Penstemon whippleanus
Fabaceae,Trifolium nanum
Asteraceae,Agoseris aurantiaca
Fabaceae,Trifolium nanum
Asteraceae,Cirsium scopulorum
Rosaceae,Sibbaldia procumbens
Primulaceae,Primula angustifolia
Polygonaceae,Bistorta bistortoides
Boraginaceae,Eritrichium argenteum
Polemoniaceae,Polemonium viscosum
Ranunculaceae,Aquilegia coerulea
Rosaceae,Geum rossii
Polemoniaceae,Polemonium viscosum
Gentianaceae,Gentiana parryi
Juncaceae,Luzula spicata
Caryophyllaceae,Silene acaulis
Asteraceae,Anaphalis margaritacea
Asteraceae,Achillea millefolium
Rosaceae,Dryas hookeriana
Boraginaceae,Mertensia lanceolata
Crassulaceae,Rhodiola rhodantha
Crassulaceae,Rhodiola rhodantha
Asteraceae,Cirsium griseum osterhoutii
Crassulaceae,Rhodiola integrifolia
Primulaceae,Androsace lehmanniana
Polemoniaceae,Polemonium viscosum
Polygonaceae,Oxyria digyna
Orobanchaceae,Pedicularis bracteosa
Gentianaceae,Gentianella amarella
Plantaginaceae,Penstemon whippleanus
Polemoniaceae,Polemonium viscosum
Salicaceae,Salix arctica petraea
Asteraceae,Tonestus pygmaeus
Caryophyllaceae,Silene acaulis
Asteraceae,Senecio soldanella
Fabaceae,Oxytropis splendens
Gentianaceae,Swertia perennis
Montiaceae,Claytonia megarhiza
Poaceae,Koeleria spicata
Plantaginaceae,Penstemon whippleanus
Orobanchaceae,Pedicularis groenlandica
Saxifragaceae,Saxifraga bronchialis
Asteraceae,Hymenoxys grandiflora
Onagraceae,Chamaenerion angustifolium
Gentianaceae,Gentiana parryi
Boraginaceae,Eritrichium argenteum
Asteraceae,Hymenoxys grandiflora
Gentianaceae,Gentiana algida
Asteraceae,Erigeron pinnatisectus
Plantaginaceae,Penstemon whippleanus
Rosaceae,Geum rossii
Primulaceae,Primula parryi
Hydrophyllaceae,Phacelia sericea
Orobanchaceae,Castilleja occidentalis
Asteraceae,Erigeron compositus
Asteraceae,Erigeron elatior
Polygonaceae,Oxyria digyna
Brassicaceae,Physaria alpina
Polygonaceae,Bistorta bistortoides
Rosaceae,Sibbaldia procumbens
Orobanchaceae,Castilleja occidentalis
Caryophyllaceae,Silene acaulis
Ranunculaceae,Aquilegia saximontana
Polygonaceae,Oxyria digyna
Violaceae,Viola adunca
Orobanchaceae,Pedicularis groenlandica
Asteraceae,Hymenoxys grandiflora
Caryophyllaceae,Silene acaulis
Polemoniaceae,Phlox condensata
Saxifragaceae,Micranthes rhomboidea
Ranunculaceae,Trollius albiflorus
Linaceae,Linum lewisii
Asteraceae,Erigeron compositus
Gentianaceae,Gentianella amarella
Primulaceae,Primula angustifolia
Polemoniaceae,Polemonium pulcherrimum delicatum
Crassulaceae,Rhodiola integrifolia
Ranunculaceae,Pulsatilla nuttalliana
Brassicaceae,Erysimum capitatum
Ranunculaceae,Anemonastrum zephyrum
Asteraceae,Hymenoxys grandiflora
Orobanchaceae,Pedicularis groenlandica
Plantaginaceae,Penstemon hallii
Polemoniaceae,Phlox condensata
Hydrophyllaceae,Phacelia sericea
Ericaceae,Kalmia microphylla
Campanulaceae,Campanula petiolata
Rosaceae,Geum rossii
Plantaginaceae,Penstemon whippleanus
Hydrophyllaceae,Phacelia sericea
Polygonaceae,Bistorta bistortoides
Montiaceae,Claytonia megarhiza
Montiaceae,Claytonia megarhiza
Crassulaceae,Sedum lanceolatum
Asteraceae,Cirsium funkiae
Montiaceae,Claytonia megarhiza
Asteraceae,Hymenoxys grandiflora
Ranunculaceae,Trollius albiflorus
Crassulaceae,Rhodiola integrifolia
Ranunculaceae,Pulsatilla nuttalliana
Asteraceae,Hymenoxys grandiflora
Brassicaceae,Noccaea fendleri
Melanthiaceae,Anticlea elegans elegans
Orobanchaceae,Castilleja occidentalis
Rosaceae,Geum rossii
Asteraceae,Senecio triangularis
Hydrophyllaceae,Phacelia sericea
Asteraceae,Hymenoxys grandiflora
Saxifragaceae,Micranthes oregana
Hydrophyllaceae,Phacelia sericea
Primulaceae,Primula parryi
Asteraceae,Hymenoxys grandiflora
Crassulaceae,Rhodiola rhodantha
Polemoniaceae,Polemonium viscosum
Salicaceae,Salix nivalis
Orobanchaceae,Pedicularis parryi
Violaceae,Viola adunca
Asteraceae,Cirsium scopulorum
Rosaceae,Geum rossii
Brassicaceae,Noccaea fendleri
Asteraceae,Hymenoxys grandiflora
Primulaceae,Primula angustifolia
Hydrophyllaceae,Phacelia sericea
Asteraceae,Hymenoxys grandiflora
Primulaceae,Primula parryi
Asteraceae,Senecio soldanella
Asteraceae,Arnica parryi
Linaceae,Linum lewisii
Ranunculaceae,Aquilegia coerulea
Orobanchaceae,Pedicularis groenlandica
Polemoniaceae,Polemonium pulcherrimum delicatum
Rosaceae,Ivesia gordonii
Ranunculaceae,Ranunculus adoneus
Asteraceae,Hymenoxys grandiflora
Rosaceae,Geum rossii
Pinaceae,Picea engelmannii
Crassulaceae,Sedum lanceolatum
Orobanchaceae,Pedicularis parryi
Gentianaceae,Gentianopsis barbellata
Plantaginaceae,Veronica wormskjoldii
Crassulaceae,Sedum lanceolatum
Polygonaceae,Oxyria digyna
Geraniaceae,Geranium richardsonii
Orobanchaceae,Pedicularis groenlandica
Sapindaceae,Acer glabrum
Orobanchaceae,Castilleja occidentalis
Polygonaceae,Eriogonum arcuatum xanthum
Crassulaceae,Rhodiola integrifolia
Ranunculaceae,Caltha chionophila
Ranunculaceae,Aquilegia coerulea
Plantaginaceae,Penstemon whippleanus
Ranunculaceae,Caltha chionophila
Orobanchaceae,Castilleja miniata
Crassulaceae,Sedum lanceolatum
Apiaceae,Oreoxis alpina
Fabaceae,Trifolium nanum
Onagraceae,Chamaenerion angustifolium
Orobanchaceae,Castilleja occidentalis
Crassulaceae,Rhodiola integrifolia
Polygonaceae,Oxyria digyna
Polemoniaceae,Polemonium viscosum
Brassicaceae,Noccaea fendleri
Fabaceae,Oxytropis borealis
Brassicaceae,Cardamine cordifolia
Orobanchaceae,Castilleja rhexiifolia
Primulaceae,Primula parryi
Ranunculaceae,Aquilegia coerulea
Asteraceae,Tonestus pygmaeus
Polygonaceae,Bistorta bistortoides
Crassulaceae,Rhodiola rhodantha
Saxifragaceae,Saxifraga bronchialis
Crassulaceae,Rhodiola integrifolia
Plantaginaceae,Penstemon whippleanus
Orobanchaceae,Castilleja rhexiifolia
Ranunculaceae,Aquilegia coerulea
Polemoniaceae,Polemonium viscosum
Caryophyllaceae,Cherleria obtusiloba
Papaveraceae,Papaver coloradense
Saxifragaceae,Telesonix jamesii
Polemoniaceae,Polemonium pulcherrimum
Hydrophyllaceae,Phacelia sericea
Primulaceae,Primula parryi
Onagraceae,Chamaenerion angustifolium
Asteraceae,Townsendia rothrockii
Asteraceae,Packera cana
Melanthiaceae,Anticlea elegans
Hydrophyllaceae,Phacelia sericea
Amaryllidaceae,Allium geyeri
Amaryllidaceae,Allium geyeri
Viburnaceae,Sambucus racemosa
Violaceae,Viola adunca
Asteraceae,Senecio triangularis
Ranunculaceae,Aquilegia coerulea
Melanthiaceae,Anticlea elegans
Onagraceae,Chamaenerion angustifolium
Ranunculaceae,Aquilegia coerulea
Fabaceae,Trifolium dasyphyllum
Caryophyllaceae,Silene acaulis
Polygonaceae,Oxyria digyna
Hydrophyllaceae,Phacelia hastata
Plantaginaceae,Penstemon whippleanus
Crassulaceae,Rhodiola rhodantha
Asteraceae,Hymenoxys grandiflora
Brassicaceae,Smelowskia americana
Rosaceae,Sibbaldia procumbens
Polemoniaceae,Polemonium confertum
Fabaceae,Trifolium dasyphyllum
Caryophyllaceae,Silene acaulis
Polemoniaceae,Polemonium pulcherrimum
Onagraceae,Chamaenerion angustifolium
Montiaceae,Claytonia megarhiza
Ranunculaceae,Aquilegia saximontana
Ranunculaceae,Caltha chionophila
Orobanchaceae,Pedicularis groenlandica
Caryophyllaceae,Eremogone congesta
Polemoniaceae,Phlox condensata
Orobanchaceae,Castilleja miniata
Polygonaceae,Oxyria digyna
Polemoniaceae,Polemonium pulcherrimum delicatum
Rosaceae,Geum rossii
Plantaginaceae,Penstemon whippleanus
Asteraceae,Senecio triangularis
Brassicaceae,Erysimum capitatum
Hydrophyllaceae,Phacelia sericea
Plantaginaceae,Linaria vulgaris
Rosaceae,Geum rossii
Asteraceae,Senecio amplectens
Caryophyllaceae,Silene acaulis
Onagraceae,Chamaenerion angustifolium
Polygonaceae,Bistorta bistortoides
Caryophyllaceae,Stellaria irrigua
Primulaceae,Primula angustifolia
Rosaceae,Ivesia gordonii
Rosaceae,Dryas hookeriana
Gentianaceae,Gentiana prostrata
Caryophyllaceae,Cerastium beeringianum
Polygonaceae,Eriogonum umbellatum
Ranunculaceae,Caltha chionophila
Rosaceae,Geum rossii
Primulaceae,Primula parryi
Ranunculaceae,Aquilegia coerulea
Fabaceae,Trifolium nanum
Boraginaceae,Eritrichium argenteum
Asteraceae,Hymenoxys grandiflora
Orobanchaceae,Pedicularis racemosa
Polemoniaceae,Polemonium confertum
Orobanchaceae,Pedicularis sudetica scopulorum
Orobanchaceae,Castilleja rhexiifolia
Polemoniaceae,Polemonium viscosum
Asteraceae,Cirsium hesperium
Liliaceae,Erythronium grandiflorum
Rhamnaceae,Ceanothus velutinus
Orobanchaceae,Pedicularis groenlandica
Asteraceae,Chaenactis douglasii alpina
Plantaginaceae,Veronica besseya
Berberidaceae,Berberis repens
Pinaceae,Pinus aristata
Rosaceae,Dasiphora fruticosa
Salicaceae,Populus tremuloides
Orobanchaceae,Pedicularis groenlandica
Rosaceae,Geum rossii
Asteraceae,Packera neomexicana
Caryophyllaceae,Silene acaulis
Rosaceae,Sorbus scopulina
Asteraceae,Tonestus pygmaeus
Montiaceae,Claytonia megarhiza
Ranunculaceae,Aquilegia coerulea
Rosaceae,Geum rossii
Gentianaceae,Gentiana parryi
Plantaginaceae,Penstemon whippleanus
Brassicaceae,Smelowskia americana
Montiaceae,Claytonia megarhiza
Ranunculaceae,Aquilegia coerulea
Plantaginaceae,Penstemon whippleanus
Brassicaceae,Draba grayana
Salicaceae,Salix nivalis
Boraginaceae,Eritrichium argenteum
Polygonaceae,Bistorta bistortoides
Asteraceae,Erigeron pinnatisectus
Caryophyllaceae,Silene acaulis
Onagraceae,Chamaenerion angustifolium
Crassulaceae,Rhodiola integrifolia
Apiaceae,Angelica grayi
Asteraceae,Achillea millefolium
Asteraceae,Cirsium scopulorum
Ranunculaceae,Caltha chionophila
Linaceae,Linum lewisii
Ranunculaceae,Ranunculus adoneus
Plantaginaceae,Veronica besseya
Asteraceae,Symphyotrichum foliaceum apricum
Orobanchaceae,Pedicularis parryi
Saxifragaceae,Saxifraga hirculus
Hydrophyllaceae,Phacelia sericea
Brassicaceae,Cardamine cordifolia
Plantaginaceae,Penstemon whippleanus
Onagraceae,Chamaenerion angustifolium
Asteraceae,Hymenoxys grandiflora
Rosaceae,Dryas hookeriana
